content,label,filtered,cleaned,content_tokens,normalisasi
semoga aplikasi ini dapat membantu...,0,semoga aplikasi ini dapat membantu,moga aplikasi dapat bantu,"['moga', 'aplikasi', 'dapat', 'bantu']","['semoga', 'aplikasi', 'dapat', 'bantu']"
semoga apk indo dana bisa membantu saya,0,semoga apk indo dana bisa membantu saya,moga apk indo dana bisa bantu saya,"['moga', 'apk', 'indo', 'dana', 'bisa', 'bantu', 'saya']","['semoga', 'aplikasi', 'indonesia', 'dana', 'bisa', 'bantu', 'aku']"
semoga bsa di acc,0,semoga bsa di acc,moga bsa acc,"['moga', 'bsa', 'acc']","['semoga', 'bisa', 'terima']"
sangat membantu semoga di acc,0,sangat membantu semoga di acc,sangat bantu moga acc,"['sangat', 'bantu', 'moga', 'acc']","['sangat', 'bantu', 'semoga', 'terima']"
semoga di acc..eh gak pernah di acc...percuma ã°å¸â¤â£ã°å¸â¤â£,0,semoga di acc eh gak pernah di acc percuma,moga acc gak pernah acc percuma,"['moga', 'acc', 'gak', 'pernah', 'acc', 'percuma']","['semoga', 'terima', 'tidak', 'pernah', 'terima', 'percuma']"
"semoga acc, sangat butuh dana untuk saat ini ã°å¸â¢â",0,semoga acc sangat butuh dana untuk saat ini,moga acc sangat butuh dana untuk saat,"['moga', 'acc', 'sangat', 'butuh', 'dana', 'untuk', 'saat']","['semoga', 'terima', 'sangat', 'butuh', 'dana', 'untuk', 'saat']"
tolong di acc saya buat biaya lahiran,0,tolong di acc saya buat biaya lahiran,tolong acc saya biaya lahir,"['tolong', 'acc', 'saya', 'biaya', 'lahir']","['tolong', 'terima', 'aku', 'biaya', 'lahir']"
kalu d acc alahmdulilah,0,kalu d acc alahmdulilah,kalu acc alahmdulilah,"['kalu', 'acc', 'alahmdulilah']","['kalu', 'terima', 'alahmdulilah']"
aplikasi mudah digunakan semoga cepat cair,0,aplikasi mudah digunakan semoga cepat cair,aplikasi mudah guna moga cepat cair,"['aplikasi', 'mudah', 'guna', 'moga', 'cepat', 'cair']","['aplikasi', 'mudah', 'guna', 'semoga', 'cepat', 'cair']"
coba dulu kalo bagus tambah rating,0,coba dulu kalo bagus tambah rating,coba dulu kalo bagus tambah rating,"['coba', 'dulu', 'kalo', 'bagus', 'tambah', 'rating']","['coba', 'dulu', 'kalau', 'bagus', 'tambah', 'rating']"
klo berhasil saya kasih 5bintang,0,klo berhasil saya kasih bintang,klo hasil saya kasih bintang,"['klo', 'hasil', 'saya', 'kasih', 'bintang']","['kalau', 'hasil', 'aku', 'kasih', 'bintang']"
"semoga di acc. soal sdh butuh sekali, dan sebelum tanggal pelunasna saya sdh kasih lunas",0,semoga di acc soal sdh butuh sekali dan sebelum tanggal pelunasna saya sdh kasih lunas,moga acc soal sdh butuh sekali belum tanggal pelunasna saya sdh kasih lunas,"['moga', 'acc', 'soal', 'sdh', 'butuh', 'sekali', 'belum', 'tanggal', 'pelunasna', 'saya', 'sdh', 'kasih', 'lunas']","['semoga', 'terima', 'soal', 'sudah', 'butuh', 'sekali', 'belum', 'tanggal', 'pelunasna', 'aku', 'sudah', 'kasih', 'lunas']"
semoga cair bisa untuk modal usaha,0,semoga cair bisa untuk modal usaha,moga cair bisa untuk modal usaha,"['moga', 'cair', 'bisa', 'untuk', 'modal', 'usaha']","['semoga', 'cair', 'bisa', 'untuk', 'modal', 'usaha']"
saya ksh bintang 2 dlu sementara klu udh cair pengajuannya bgs saya ksh bintang 6 ..semoga indodana benar dlm pengajuannya selama 6 bulan ..saya akan ambil ..mksh,0,saya ksh bintang dlu sementara klu udh cair pengajuannya bgs saya ksh bintang semoga indodana benar dlm pengajuannya selama bulan saya akan ambil mksh,saya ksh bintang dlu sementara klu udh cair aju bgs saya ksh bintang moga indodana benar dlm aju lama bulan saya akan ambil mksh,"['saya', 'ksh', 'bintang', 'dlu', 'sementara', 'klu', 'udh', 'cair', 'aju', 'bgs', 'saya', 'ksh', 'bintang', 'moga', 'indodana', 'benar', 'dlm', 'aju', 'lama', 'bulan', 'saya', 'akan', 'ambil', 'mksh']","['aku', 'ksh', 'bintang', 'dulu', 'sementara', 'klu', 'sudah', 'cair', 'aju', 'bagus', 'aku', 'ksh', 'bintang', 'semoga', 'indodana', 'benar', 'dalam', 'aju', 'lama', 'bulan', 'aku', 'akan', 'ambil', 'mksh']"
kalau di acc saya tambah bintang,0,kalau di acc saya tambah bintang,kalau acc saya tambah bintang,"['kalau', 'acc', 'saya', 'tambah', 'bintang']","['kalau', 'terima', 'aku', 'tambah', 'bintang']"
2 dulu cair ..kuberi 5,0,dulu cair kuberi,dulu cair beri,"['dulu', 'cair', 'beri']","['dulu', 'cair', 'beri']"
"semoga di acc pengajuan pinjaman x ini , aya a/n ani maryani ,",0,semoga di acc pengajuan pinjaman x ini aya a n ani maryani,moga acc aju pinjam ini aya a n ani maryani,"['moga', 'acc', 'aju', 'pinjam', 'ini', 'aya', 'a', 'n', 'ani', 'maryani']","['semoga', 'terima', 'aju', 'pinjam', 'ini', 'aya', 'a', 'dan', 'ani', 'maryani']"
sangatt bagus... semoga cepat di acc,0,sangatt bagus semoga cepat di acc,sangatt bagus moga cepat acc,"['sangatt', 'bagus', 'moga', 'cepat', 'acc']","['sangatt', 'bagus', 'semoga', 'cepat', 'terima']"
pengajuan y sangat mudah dan simpel mudah2n di acc,0,pengajuan y sangat mudah dan simpel mudah n di acc,aju y sangat mudah simpel mudah n acc,"['aju', 'y', 'sangat', 'mudah', 'simpel', 'mudah', 'n', 'acc']","['aju', 'iya', 'sangat', 'mudah', 'simpel', 'mudah', 'dan', 'terima']"
moga aja acc amin y...robbal alamin,0,moga aja acc amin y robbal alamin,moga acc amin y robbal alamin,"['moga', 'acc', 'amin', 'y', 'robbal', 'alamin']","['semoga', 'terima', 'amin', 'iya', 'robbal', 'alamin']"
semoga d acc,0,semoga d acc,moga acc,"['moga', 'acc']","['semoga', 'terima']"
kalau di acc aq kasih full bintang ngak di acc auto uninstal,0,kalau di acc aq kasih full bintang ngak di acc auto uninstal,kalau acc aq kasih full bintang ngak acc auto uninstal,"['kalau', 'acc', 'aq', 'kasih', 'full', 'bintang', 'ngak', 'acc', 'auto', 'uninstal']","['kalau', 'terima', 'aku', 'kasih', 'penuh', 'bintang', 'tidak', 'terima', 'auto', 'uninstall']"
terima kasih sudah membantu semoga cair sekarang juga,0,terima kasih sudah membantu semoga cair sekarang juga,terima kasih sudah bantu moga cair sekarang,"['terima', 'kasih', 'sudah', 'bantu', 'moga', 'cair', 'sekarang']","['terima', 'kasih', 'sudah', 'bantu', 'semoga', 'cair', 'sekarang']"
klau terima full bintang,0,klau terima full bintang,klau terima full bintang,"['klau', 'terima', 'full', 'bintang']","['kalau', 'terima', 'penuh', 'bintang']"
klo di approve baru kasih bintang 5,0,klo di approve baru kasih bintang,klo approve baru kasih bintang,"['klo', 'approve', 'baru', 'kasih', 'bintang']","['kalau', 'approve', 'baru', 'kasih', 'bintang']"
semoga jadi penolong,0,semoga jadi penolong,moga jadi tolong,"['moga', 'jadi', 'tolong']","['semoga', 'jadi', 'tolong']"
semoga di acc pengajuan paylatternya.,0,semoga di acc pengajuan paylatternya,moga acc aju paylatternya,"['moga', 'acc', 'aju', 'paylatternya']","['semoga', 'terima', 'aju', 'paylatternya']"
lagi mencoba klo dikasih bintang naik,0,lagi mencoba klo dikasih bintang naik,coba klo kasih bintang naik,"['coba', 'klo', 'kasih', 'bintang', 'naik']","['coba', 'kalau', 'kasih', 'bintang', 'naik']"
semoga dqpqt,0,semoga dqpqt,moga dqpqt,"['moga', 'dqpqt']","['semoga', 'dqpqt']"
semoga pinjeman saya di acc dan makin maju,0,semoga pinjeman saya di acc dan makin maju,moga pinjeman saya acc makin maju,"['moga', 'pinjeman', 'saya', 'acc', 'makin', 'maju']","['semoga', 'pinjeman', 'aku', 'terima', 'makin', 'maju']"
acc tmbh jd 5,0,acc tmbh jd,acc tmbh jd,"['acc', 'tmbh', 'jd']","['terima', 'tmbh', 'jd']"
"baru mau coba.saya kasi bintang 4 dlu.klo bagus dan acc.dan semoga amanah tidak tipu seperti aplikasi lain,amanah.dan jujur ke pasar nasabah,sya tambah bintang lagi",0,baru mau coba saya kasi bintang dlu klo bagus dan acc dan semoga amanah tidak tipu seperti aplikasi lain amanah dan jujur ke pasar nasabah sya tambah bintang lagi,baru coba saya bintang dlu klo bagus acc moga amanah tidak tipu seperti aplikasi lain amanah jujur pasar nasabah sya tambah bintang,"['baru', 'coba', 'saya', 'bintang', 'dlu', 'klo', 'bagus', 'acc', 'moga', 'amanah', 'tidak', 'tipu', 'seperti', 'aplikasi', 'lain', 'amanah', 'jujur', 'pasar', 'nasabah', 'sya', 'tambah', 'bintang']","['baru', 'coba', 'aku', 'bintang', 'dulu', 'kalau', 'bagus', 'terima', 'semoga', 'amanah', 'tidak', 'tipu', 'seperti', 'aplikasi', 'lain', 'amanah', 'jujur', 'pasar', 'nasabah', 'aku', 'tambah', 'bintang']"
"pendaftaran lancar dan respon cepat,, mudah mudahan di acc ya",0,pendaftaran lancar dan respon cepat mudah mudahan di acc ya,daftar lancar respon cepat mudah mudah acc,"['daftar', 'lancar', 'respon', 'cepat', 'mudah', 'mudah', 'acc']","['daftar', 'lancar', 'respon', 'cepat', 'mudah', 'mudah', 'terima']"
mudah proses gak tau di acc gak.semoga di acc langsung bintang 5 dan tamba jaya,0,mudah proses gak tau di acc gak semoga di acc langsung bintang dan tamba jaya,mudah proses gak tau acc gak moga acc langsung bintang tamba jaya,"['mudah', 'proses', 'gak', 'tau', 'acc', 'gak', 'moga', 'acc', 'langsung', 'bintang', 'tamba', 'jaya']","['mudah', 'proses', 'tidak', 'tau', 'terima', 'tidak', 'semoga', 'terima', 'langsung', 'bintang', 'tamba', 'jaya']"
bissmillah acc,0,bissmillah acc,bissmillah acc,"['bissmillah', 'acc']","['bissmillah', 'terima']"
tak kasih bintang 3 soalnya proses masih nunggu 1 hari. kalau berhasil nanti saya tambah lagi bintang nya,0,tak kasih bintang soalnya proses masih nunggu hari kalau berhasil nanti saya tambah lagi bintang nya,tak kasih bintang soal proses masih nunggu hari kalau hasil nanti saya tambah bintang,"['tak', 'kasih', 'bintang', 'soal', 'proses', 'masih', 'nunggu', 'hari', 'kalau', 'hasil', 'nanti', 'saya', 'tambah', 'bintang']","['tidak', 'kasih', 'bintang', 'soal', 'proses', 'masih', 'nunggu', 'hari', 'kalau', 'hasil', 'nanti', 'aku', 'tambah', 'bintang']"
saya kasih bintan 2 dulu baru awalan,0,saya kasih bintan dulu baru awalan,saya kasih bintan dulu baru awal,"['saya', 'kasih', 'bintan', 'dulu', 'baru', 'awal']","['aku', 'kasih', 'bintan', 'dulu', 'baru', 'awal']"
kasi 3 bintang dulu.klo di acc baru bintang 5,0,kasi bintang dulu klo di acc baru bintang,bintang dulu klo acc baru bintang,"['bintang', 'dulu', 'klo', 'acc', 'baru', 'bintang']","['bintang', 'dulu', 'kalau', 'terima', 'baru', 'bintang']"
tolong acc pengajuan saya ..saya sangat butuh pinjaman ini ã°å¸â¢âã°å¸â¢â,0,tolong acc pengajuan saya saya sangat butuh pinjaman ini,tolong acc aju saya saya sangat butuh pinjam,"['tolong', 'acc', 'aju', 'saya', 'saya', 'sangat', 'butuh', 'pinjam']","['tolong', 'terima', 'aju', 'aku', 'aku', 'sangat', 'butuh', 'pinjam']"
muda mudahan di acc,0,muda mudahan di acc,muda mudah acc,"['muda', 'mudah', 'acc']","['muda', 'mudah', 'terima']"
saya kasih bintang ã¢â­âã¢â­â pengajuan saya lolos saya kasih bintang ã¢â­âã¢â­âã¢â­âã¢â­âã¢â­â,0,saya kasih bintang pengajuan saya lolos saya kasih bintang,saya kasih bintang aju saya lolos saya kasih bintang,"['saya', 'kasih', 'bintang', 'aju', 'saya', 'lolos', 'saya', 'kasih', 'bintang']","['aku', 'kasih', 'bintang', 'aju', 'aku', 'lolos', 'aku', 'kasih', 'bintang']"
kasih 2 dulu klu acc nanti kasih 5,0,kasih dulu klu acc nanti kasih,kasih dulu klu acc nanti kasih,"['kasih', 'dulu', 'klu', 'acc', 'nanti', 'kasih']","['kasih', 'dulu', 'klu', 'terima', 'nanti', 'kasih']"
"mudah2an disetujui,n saya pun bisa menjaga amanah telah dipercaya oleh pihak indodana",0,mudah an disetujui n saya pun bisa menjaga amanah telah dipercaya oleh pihak indodana,mudah tuju n saya bisa jaga amanah telah percaya oleh pihak indodana,"['mudah', 'tuju', 'n', 'saya', 'bisa', 'jaga', 'amanah', 'telah', 'percaya', 'oleh', 'pihak', 'indodana']","['mudah', 'tuju', 'dan', 'aku', 'bisa', 'jaga', 'amanah', 'telah', 'percaya', 'oleh', 'pihak', 'indodana']"
kasih tiga dlu klk d konfirmasi bru d tambah lgi,0,kasih tiga dlu klk d konfirmasi bru d tambah lgi,kasih tiga dlu klk konfirmasi bru tambah lgi,"['kasih', 'tiga', 'dlu', 'klk', 'konfirmasi', 'bru', 'tambah', 'lgi']","['kasih', 'tiga', 'dulu', 'klk', 'konfirmasi', 'baru', 'tambah', 'lagi']"
saya mencoba lg semoga berhasil,0,saya mencoba lg semoga berhasil,saya coba moga hasil,"['saya', 'coba', 'moga', 'hasil']","['aku', 'coba', 'semoga', 'hasil']"
kasih binta 2 dulu kalo di terima baru full 5 bintang,0,kasih binta dulu kalo di terima baru full bintang,kasih binta dulu kalo terima baru full bintang,"['kasih', 'binta', 'dulu', 'kalo', 'terima', 'baru', 'full', 'bintang']","['kasih', 'binta', 'dulu', 'kalau', 'terima', 'baru', 'penuh', 'bintang']"
saya ingin mencoba dulu semoga berhasil,0,saya ingin mencoba dulu semoga berhasil,saya ingin coba dulu moga hasil,"['saya', 'ingin', 'coba', 'dulu', 'moga', 'hasil']","['aku', 'ingin', 'coba', 'dulu', 'semoga', 'hasil']"
semoga bisa cair,0,semoga bisa cair,moga bisa cair,"['moga', 'bisa', 'cair']","['semoga', 'bisa', 'cair']"
klo lancar sy kasih bintang 5+,0,klo lancar sy kasih bintang,klo lancar sy kasih bintang,"['klo', 'lancar', 'sy', 'kasih', 'bintang']","['kalau', 'lancar', 'saya', 'kasih', 'bintang']"
"saya kasih 3 bintang dulu kalo di acc pengajuan saya,baru kasih bintang 5ã°å¸â¢âã°å¸â¢âã°å¸â¢â",0,saya kasih bintang dulu kalo di acc pengajuan saya baru kasih bintang,saya kasih bintang dulu kalo acc aju saya baru kasih bintang,"['saya', 'kasih', 'bintang', 'dulu', 'kalo', 'acc', 'aju', 'saya', 'baru', 'kasih', 'bintang']","['aku', 'kasih', 'bintang', 'dulu', 'kalau', 'terima', 'aju', 'aku', 'baru', 'kasih', 'bintang']"
mohon data pribadi saya jngan d slh gunakan terimakasih atas penawaran pinjamannya walaupun tidak lolos (08-02-23) bintang satu dulu ya,0,mohon data pribadi saya jngan d slh gunakan terimakasih atas penawaran pinjamannya walaupun tidak lolos bintang satu dulu ya,mohon data pribadi saya jngan slh guna terimakasih atas tawar pinjam walaupun tidak lolos bintang satu dulu,"['mohon', 'data', 'pribadi', 'saya', 'jngan', 'slh', 'guna', 'terimakasih', 'atas', 'tawar', 'pinjam', 'walaupun', 'tidak', 'lolos', 'bintang', 'satu', 'dulu']","['mohon', 'data', 'pribadi', 'aku', 'jngan', 'slh', 'guna', 'terimakasih', 'atas', 'tawar', 'pinjam', 'walaupun', 'tidak', 'lolos', 'bintang', 'satu', 'dulu']"
semoga di cairkan.,0,semoga di cairkan,moga cair,"['moga', 'cair']","['semoga', 'cair']"
moga cepat di proses,0,moga cepat di proses,moga cepat proses,"['moga', 'cepat', 'proses']","['semoga', 'cepat', 'proses']"
masih mencoba semoga di acc,0,masih mencoba semoga di acc,masih coba moga acc,"['masih', 'coba', 'moga', 'acc']","['masih', 'coba', 'semoga', 'terima']"
"bintang 2 dulu,,kalu lolos ,,tambah lagi bintang 3",0,bintang dulu kalu lolos tambah lagi bintang,bintang dulu kalu lolos tambah bintang,"['bintang', 'dulu', 'kalu', 'lolos', 'tambah', 'bintang']","['bintang', 'dulu', 'kalu', 'lolos', 'tambah', 'bintang']"
semoga bisa,0,semoga bisa,moga bisa,"['moga', 'bisa']","['semoga', 'bisa']"
semoga diacc..,0,semoga diacc,moga diacc,"['moga', 'diacc']","['semoga', 'terima']"
semoga lolos aplikasi luar biasa,0,semoga lolos aplikasi luar biasa,moga lolos aplikasi luar biasa,"['moga', 'lolos', 'aplikasi', 'luar', 'biasa']","['semoga', 'lolos', 'aplikasi', 'luar', 'biasa']"
saya tambahkan kalau sudah acc ya sukses selalu,0,saya tambahkan kalau sudah acc ya sukses selalu,saya tambah kalau sudah acc sukses selalu,"['saya', 'tambah', 'kalau', 'sudah', 'acc', 'sukses', 'selalu']","['aku', 'tambah', 'kalau', 'sudah', 'terima', 'sukses', 'selalu']"
tiga dulu ya klw berhasil baru di tambah ã¢â­â,0,tiga dulu ya klw berhasil baru di tambah,tiga dulu klw hasil baru tambah,"['tiga', 'dulu', 'klw', 'hasil', 'baru', 'tambah']","['tiga', 'dulu', 'klw', 'hasil', 'baru', 'tambah']"
saya kasih bintang 3 dulu kalau pengajuan saya di acc saya bakal kasih bintang 5,0,saya kasih bintang dulu kalau pengajuan saya di acc saya bakal kasih bintang,saya kasih bintang dulu kalau aju saya acc saya bakal kasih bintang,"['saya', 'kasih', 'bintang', 'dulu', 'kalau', 'aju', 'saya', 'acc', 'saya', 'bakal', 'kasih', 'bintang']","['aku', 'kasih', 'bintang', 'dulu', 'kalau', 'aju', 'aku', 'terima', 'aku', 'akan', 'kasih', 'bintang']"
saya lihat indodana saya ajukan klo di setujui bersyukur alhamdulillah kalo tak di setujui mungkin belum rezekinya saya terimakasih,0,saya lihat indodana saya ajukan klo di setujui bersyukur alhamdulillah kalo tak di setujui mungkin belum rezekinya saya terimakasih,saya lihat indodana saya aju klo tuju syukur alhamdulillah kalo tak tuju mungkin belum rezeki saya terimakasih,"['saya', 'lihat', 'indodana', 'saya', 'aju', 'klo', 'tuju', 'syukur', 'alhamdulillah', 'kalo', 'tak', 'tuju', 'mungkin', 'belum', 'rezeki', 'saya', 'terimakasih']","['aku', 'lihat', 'indodana', 'aku', 'aju', 'kalau', 'tuju', 'syukur', 'alhamdulilah', 'kalau', 'tidak', 'tuju', 'mungkin', 'belum', 'rezeki', 'aku', 'terimakasih']"
sedanh mencoba,0,sedanh mencoba,sedanh coba,"['sedanh', 'coba']","['sedanh', 'coba']"
semoga indodana mkin sukses. n transaksi perdana sy di acc. amin.,0,semoga indodana mkin sukses n transaksi perdana sy di acc amin,moga indodana mkin sukses n transaksi perdana sy acc amin,"['moga', 'indodana', 'mkin', 'sukses', 'n', 'transaksi', 'perdana', 'sy', 'acc', 'amin']","['semoga', 'indodana', 'semakin', 'sukses', 'dan', 'transaksi', 'perdana', 'saya', 'terima', 'amin']"
kalau acc sya tmbah bintang lagi,0,kalau acc sya tmbah bintang lagi,kalau acc sya tmbah bintang,"['kalau', 'acc', 'sya', 'tmbah', 'bintang']","['kalau', 'terima', 'aku', 'tmbah', 'bintang']"
saya kasih bintang 4 aja dulu,0,saya kasih bintang aja dulu,saya kasih bintang dulu,"['saya', 'kasih', 'bintang', 'dulu']","['aku', 'kasih', 'bintang', 'dulu']"
"semoga di acc,karna butuh uang:)",0,semoga di acc karna butuh uang,moga acc karna butuh uang,"['moga', 'acc', 'karna', 'butuh', 'uang']","['semoga', 'terima', 'karena', 'butuh', 'uang']"
kasih 3 dulu menjelang acc,0,kasih dulu menjelang acc,kasih dulu jelang acc,"['kasih', 'dulu', 'jelang', 'acc']","['kasih', 'dulu', 'jelang', 'terima']"
good. smg di acc aamiin,0,good smg di acc aamiin,good smg acc aamiin,"['good', 'smg', 'acc', 'aamiin']","['bagus', 'smg', 'terima', 'amin']"
beri 3 dulu jika acc akan saya beri bintang 5,0,beri dulu jika acc akan saya beri bintang,beri dulu jika acc akan saya beri bintang,"['beri', 'dulu', 'jika', 'acc', 'akan', 'saya', 'beri', 'bintang']","['beri', 'dulu', 'jika', 'terima', 'akan', 'aku', 'beri', 'bintang']"
tolong perba8kan sitem nya di percepat,0,tolong perba kan sitem nya di percepat,tolong perba sitem di cepat,"['tolong', 'perba', 'sitem', 'di', 'cepat']","['tolong', 'perba', 'sitem', 'di', 'cepat']"
kalo acc di tmbah bintangnya,0,kalo acc di tmbah bintangnya,kalo acc tmbah bintang,"['kalo', 'acc', 'tmbah', 'bintang']","['kalau', 'terima', 'tmbah', 'bintang']"
moga di proses,0,moga di proses,moga proses,"['moga', 'proses']","['semoga', 'proses']"
jika di acc saya akan tambah bintang nya dan bayar tepat waktu,0,jika di acc saya akan tambah bintang nya dan bayar tepat waktu,jika acc saya akan tambah bintang dan bayar tepat,"['jika', 'acc', 'saya', 'akan', 'tambah', 'bintang', 'dan', 'bayar', 'tepat']","['jika', 'terima', 'aku', 'akan', 'tambah', 'bintang', 'dan', 'bayar', 'tepat']"
moga diacc ..buat dana kebutuhan,0,moga diacc buat dana kebutuhan,moga diacc dana butuh,"['moga', 'diacc', 'dana', 'butuh']","['semoga', 'terima', 'dana', 'butuh']"
ntar klau ke acc saya tambahin lagi,0,ntar klau ke acc saya tambahin lagi,ntar klau acc saya tambahin,"['ntar', 'klau', 'acc', 'saya', 'tambahin']","['nanti', 'kalau', 'terima', 'aku', 'tambahin']"
mudah-mudahan di acc min,0,mudah mudahan di acc min,mudah mudah acc min,"['mudah', 'mudah', 'acc', 'min']","['mudah', 'mudah', 'terima', 'admin']"
4 dlu ya,0,dlu ya,dlu,['dlu'],['dulu']
smoga alim itu nya bertambah lagi indodana,0,smoga alim itu nya bertambah lagi indodana,smoga alim itu tambah indodana,"['smoga', 'alim', 'itu', 'tambah', 'indodana']","['smoga', 'alim', 'itu', 'tambah', 'indodana']"
bismillah semoga di acc,0,bismillah semoga di acc,bismillah moga acc,"['bismillah', 'moga', 'acc']","['bismillah', 'semoga', 'terima']"
semoga bs cepat cair,0,semoga bs cepat cair,moga cepat cair,"['moga', 'cepat', 'cair']","['semoga', 'cepat', 'cair']"
semoga acc dan membantu,0,semoga acc dan membantu,moga acc bantu,"['moga', 'acc', 'bantu']","['semoga', 'terima', 'bantu']"
belum acc,0,belum acc,belum acc,"['belum', 'acc']","['belum', 'terima']"
semoga membantu di acc,0,semoga membantu di acc,moga bantu acc,"['moga', 'bantu', 'acc']","['semoga', 'bantu', 'terima']"
semoga cair,0,semoga cair,moga cair,"['moga', 'cair']","['semoga', 'cair']"
saya akan beri rating 2 jika di acc akan saya tambah kan lagi 3 rating,0,saya akan beri rating jika di acc akan saya tambah kan lagi rating,saya akan beri rating jika acc akan saya tambah lagi rating,"['saya', 'akan', 'beri', 'rating', 'jika', 'acc', 'akan', 'saya', 'tambah', 'lagi', 'rating']","['aku', 'akan', 'beri', 'rating', 'jika', 'terima', 'akan', 'aku', 'tambah', 'lagi', 'rating']"
"klo di acc di tambah lagi bintangnya kak,untuk apl nya mudah di gunakan",0,klo di acc di tambah lagi bintangnya kak untuk apl nya mudah di gunakan,klo acc tambah bintang kak untuk apl mudah guna,"['klo', 'acc', 'tambah', 'bintang', 'kak', 'untuk', 'apl', 'mudah', 'guna']","['kalau', 'terima', 'tambah', 'bintang', 'kakak', 'untuk', 'aplikasi', 'mudah', 'guna']"
semoga paylaterku di acc,0,semoga paylaterku di acc,moga paylaterku acc,"['moga', 'paylaterku', 'acc']","['semoga', 'paylaterku', 'terima']"
"semoga membantu, amin",0,semoga membantu amin,moga bantu amin,"['moga', 'bantu', 'amin']","['semoga', 'bantu', 'amin']"
semoga bisa di accã°å¸ëâã°å¸ââ,0,semoga bisa di acc,moga bisa acc,"['moga', 'bisa', 'acc']","['semoga', 'bisa', 'terima']"
bintang 3 dulu,0,bintang dulu,bintang dulu,"['bintang', 'dulu']","['bintang', 'dulu']"
klw di setujui nanti sy kasih bintang 5,0,klw di setujui nanti sy kasih bintang,klw tuju nanti sy kasih bintang,"['klw', 'tuju', 'nanti', 'sy', 'kasih', 'bintang']","['klw', 'tuju', 'nanti', 'saya', 'kasih', 'bintang']"
tiga dulu,0,tiga dulu,tiga dulu,"['tiga', 'dulu']","['tiga', 'dulu']"
bintang 3 dulu kalo d acc tar d tambahin lagi,0,bintang dulu kalo d acc tar d tambahin lagi,bintang dulu kalo acc tar tambahin,"['bintang', 'dulu', 'kalo', 'acc', 'tar', 'tambahin']","['bintang', 'dulu', 'kalau', 'terima', 'nanti', 'tambahin']"
mantap sukses terus indodana,0,mantap sukses terus indodana,mantap sukses indodana,"['mantap', 'sukses', 'indodana']","['mantap', 'sukses', 'indodana']"
mantap responnya cepat,0,mantap responnya cepat,mantap responnya cepat,"['mantap', 'responnya', 'cepat']","['mantap', 'responnya', 'cepat']"
semoga bsa lolos,0,semoga bsa lolos,moga bsa lolos,"['moga', 'bsa', 'lolos']","['semoga', 'bisa', 'lolos']"
semoga d acc pengajuan saya,0,semoga d acc pengajuan saya,moga acc aju saya,"['moga', 'acc', 'aju', 'saya']","['semoga', 'terima', 'aju', 'aku']"
moga cair,0,moga cair,moga cair,"['moga', 'cair']","['semoga', 'cair']"
"semoga acc min , saya kasih 5 bintang ã°å¸ëå½",0,semoga acc min saya kasih bintang,moga acc min saya kasih bintang,"['moga', 'acc', 'min', 'saya', 'kasih', 'bintang']","['semoga', 'terima', 'admin', 'aku', 'kasih', 'bintang']"
bintang 3 dulu klo di acc baru 5,0,bintang dulu klo di acc baru,bintang dulu klo acc baru,"['bintang', 'dulu', 'klo', 'acc', 'baru']","['bintang', 'dulu', 'kalau', 'terima', 'baru']"
semoga ke trima,0,semoga ke trima,moga trima,"['moga', 'trima']","['semoga', 'trima']"
"semoga di acc karna benar"" sangat butuh dana mendesak.",0,semoga di acc karna benar sangat butuh dana mendesak,moga acc karna benar sangat butuh dana desak,"['moga', 'acc', 'karna', 'benar', 'sangat', 'butuh', 'dana', 'desak']","['semoga', 'terima', 'karena', 'benar', 'sangat', 'butuh', 'dana', 'desak']"
"sangat membantu tidak beetele tele,smoga d acc",0,sangat membantu tidak beetele tele smoga d acc,sangat bantu tidak beetele tele smoga acc,"['sangat', 'bantu', 'tidak', 'beetele', 'tele', 'smoga', 'acc']","['sangat', 'bantu', 'tidak', 'beetele', 'tele', 'smoga', 'terima']"
semoga selalu stabil aplikasinya,0,semoga selalu stabil aplikasinya,moga selalu stabil aplikasi,"['moga', 'selalu', 'stabil', 'aplikasi']","['semoga', 'selalu', 'stabil', 'aplikasi']"
mudah pengajuan nya tp ga tau lolos ga kalo lolos saya kasih bintang 5,0,mudah pengajuan nya tp ga tau lolos ga kalo lolos saya kasih bintang,mudah aju tp ga tau lolos ga kalo lolos saya kasih bintang,"['mudah', 'aju', 'tp', 'ga', 'tau', 'lolos', 'ga', 'kalo', 'lolos', 'saya', 'kasih', 'bintang']","['mudah', 'aju', 'tapi', 'tidak', 'tau', 'lolos', 'tidak', 'kalau', 'lolos', 'aku', 'kasih', 'bintang']"
masih dicoba,0,masih dicoba,masih coba,"['masih', 'coba']","['masih', 'coba']"
mudah proses nya dan lancar ..semoga sukses selalu,0,mudah proses nya dan lancar semoga sukses selalu,mudah proses dan lancar moga sukses selalu,"['mudah', 'proses', 'dan', 'lancar', 'moga', 'sukses', 'selalu']","['mudah', 'proses', 'dan', 'lancar', 'semoga', 'sukses', 'selalu']"
baru nyoba,0,baru nyoba,baru nyoba,"['baru', 'nyoba']","['baru', 'coba']"
klo di acc saya tambahkan lagi bintang ya,0,klo di acc saya tambahkan lagi bintang ya,klo acc saya tambah bintang,"['klo', 'acc', 'saya', 'tambah', 'bintang']","['kalau', 'terima', 'aku', 'tambah', 'bintang']"
